county_name,median_income,population,bachelors_degree,labor_force,median_rent,commute_time,owner_occupied,renter_occupied,state_fips,county_fips
"Turner County, Georgia",39666.0,8894.0,453.0,561.0,617.0,3031.0,2134.0,987.0,13,287
"Twiggs County, Georgia",50446.0,7955.0,392.0,390.0,727.0,2547.0,2582.0,318.0,13,289
"Union County, Georgia",59783.0,24880.0,3047.0,1030.0,781.0,8658.0,8755.0,2004.0,13,291
"Upson County, Georgia",48740.0,27638.0,1873.0,1388.0,778.0,10972.0,6729.0,3683.0,13,293
"Walker County, Georgia",52276.0,68065.0,5968.0,3257.0,847.0,27167.0,19379.0,6708.0,13,295
"Walton County, Georgia",79425.0,97752.0,9940.0,5759.0,1192.0,40759.0,26413.0,7657.0,13,297
"Ware County, Georgia",44138.0,35917.0,2561.0,1876.0,760.0,12328.0,7952.0,4804.0,13,299
"Warren County, Georgia",45091.0,5197.0,260.0,211.0,674.0,1949.0,1393.0,552.0,13,301
"Washington County, Georgia",43810.0,19975.0,1756.0,1147.0,777.0,7221.0,4921.0,2335.0,13,303
"Wayne County, Georgia",49847.0,30277.0,1713.0,1729.0,805.0,10543.0,6923.0,3831.0,13,305
"Webster County, Georgia",35000.0,2354.0,129.0,86.0,652.0,935.0,714.0,162.0,13,307
"Wheeler County, Georgia",36354.0,7550.0,557.0,824.0,414.0,2548.0,1092.0,505.0,13,309
"White County, Georgia",66256.0,28165.0,2647.0,1440.0,950.0,11257.0,7819.0,2525.0,13,311
"Whitfield County, Georgia",59659.0,103033.0,7260.0,5884.0,849.0,45278.0,24307.0,11490.0,13,313
"Wilcox County, Georgia",46759.0,8839.0,455.0,362.0,611.0,2741.0,1840.0,659.0,13,315
"Wilkes County, Georgia",51780.0,9610.0,839.0,360.0,777.0,3722.0,2650.0,1382.0,13,317
"Wilkinson County, Georgia",40757.0,8852.0,494.0,457.0,715.0,3118.0,2661.0,652.0,13,319
"Worth County, Georgia",56496.0,20706.0,950.0,844.0,875.0,8298.0,5734.0,2162.0,13,321
